abstract,추상적인
accommodate,"수용하다, 공간을 제공하다"
accompany,동행하다
accounting,"회계, 회계학"
accustomed,익숙한
acknowledge,"인정하다, 인정받음을 알리다"
acquainted,"알고 있는, 인연이 있는"
acquire,"얻다, 인수하다, 획득하다"
adapt,"맞추다, 조정하다, 적응하다"
address,연설하다
adequate,"충분한, 적절한"
adjacent,"인접한, 가까운"
adjust,"조정하다, 조절하다, 적응하다"
administrative,"행정의, 사무의, 관리상의"
admirable,"감탄할 만한, 존경스러운"
admission,"입장, 입학, 가입"
adopt,"채택하다, 취하다"
adverse,"부정적인, 불리한"
affordable,"가격이 알맞은, 저렴한"
agency,"대행사, 대리점"
aisle,"통로, 복도"
alleviate,완화하다
alliance,제휴
allocate,"할당하다, 배분하다"
allowance,"허용량, 수당, 비용"
alter,"바꾸다, 변경하다"
alternative,"대체 가능한, 대안, 다른"
amendment,"수정, 개정"
amount,"양, 액수, 총계"
anniversary,기념일
annual,"연례의, 매년의"
anonymous,익명의
anticipate,"예상하다, 예측하다, 기대하다"
apparent,분명한
appeal,"관심을 끌다, 호소하다"
applause,박수
appliance,"기기, 기구"
application,"지원서, 적응, 응용"
appointment,"약속, 임명"
appraise,"평가하다, 감정하다"
appreciate,"진가를 알아보다, 감상하다"
appropriate,"적절한, 적합한"
approval,"승인, 인정"
arbitrate,"중재하다, 조정하다"
arrangement,"준비, 정리, 배치, 협의"
article,물건
aspiring,포부가 큰
assembly,"조립, 집회, 모임"
assert,"주장, 단언하다"
assessment,평가
asset,"자산, 재산"
assignment,"업무, 임무"
assortment,"모음, 종합"
assure,"확신시키다, 보장하다, 장담하다"
assume,"맡다, 추정하다, 가정하다"
attatched,첨부된
attempt,"시도, 시도하다"
attendance,참석
attribute,"특성, 속성, 자질, 의 덕분으로"
audit,회계 감시
authentic,"진품인, 진짜인, 전통의"
authority,"권한, 당국, 권위자"
authorized,"권한이 부여된, 공인된"
aware,"알고있는, 인식하는, 의식하는"
banquet,"연회, 만찬"
basis,"기준, 근거, 기반, 기초"
behavior,"행동, 처신"
bid,"입찰, 입찰하다"
bill,"지폐, 법안"
bound,"할 것 같은, 해야 하는, 로 향하는"
breakage,"파손, 파손된 물건"
broad,폭넓은
board,"이사회, 위원회, 게시판, 탑승하다"
budget,"예산, 예산을 세우다, 저가의"
bulk,"많은 양, 큰 규모"
candidate,"후보자, 지원자"
capacity,"수용량, 용량, 능력"
capital,자본금
carry,"판매하다, 취급하다"
catering,"출장요리, 음식 공급"
celecrated,유명한
charge,"부과하다, 청구하다, 요금, 책임"
charming,"매력적인, 멋진"
chronological,"시간순의, 연대순의"
circulate,"돌리다, 배포하다"
circumstance,"환경, 상황"
clarify,명확하게 하다
claerance,"정리, 없애기"
clientele,"고객들, 의뢰인들"
coincide,"동시에 일어나다, 일치하다"
colleague,직장동료
combustible,가연성인
comfortable,"편한, 편안한"
